MoleculeId,et-PredictedProbability
1,0.755104311758
2,0.921994787966
3,0.18458693365
4,0.349354448777
5,0.133444145468
6,0.333638370845
7,0.854163971383
8,0.700868567104
9,0.775012455029
10,0.263848289818
11,0.609220582855
12,0.299838087469
13,0.649562131732
14,0.686956548073
15,0.777833298128
16,0.792283990343
17,0.669449701153
18,0.353944711384
19,0.285664553055
20,0.32265373043
21,0.61503608535
22,0.719540288182
23,0.16938778476
24,0.248613900607
25,0.131228028252
26,0.925994787966
27,0.576188200083
28,0.292059153111
29,0.682205589958
30,0.756695349545
31,0.0884044988404
32,0.650762393795
33,0.0912280282522
34,0.677185579052
35,0.632946924012
36,0.315561798614
37,0.750608295943
38,0.383388263202
39,0.437877754512
40,0.824965272847
41,0.863441603429
42,0.141500245686
43,0.0912280282522
44,0.779912490039
45,0.32297253451
46,0.918851930823
47,0.649011004873
48,0.137615297987
49,0.0989203359445
50,0.64808787266
51,0.808699605245
52,0.641801551684
53,0.261805053864
54,0.828744530658
55,0.37519789702
56,0.766652281723
57,0.223028220721
58,0.152636746125
59,0.872806022464
60,0.419644183752
61,0.235479790793
62,0.48413105174
63,0.497007135717
64,0.370134043272
65,0.181393359882
66,0.482748623872
67,0.767318529558
68,0.822809367897
69,0.147790197564
70,0.601116751591
71,0.21378724522
72,0.368560686776
73,0.925994787966
74,0.509632784934
75,0.819482843828
76,0.925994787966
77,0.8473373385
78,0.886998488731
79,0.842501450283
80,0.178390678467
81,0.732336966158
82,0.132303942676
83,0.791059503805
84,0.921433977155
85,0.74422122613
86,0.653772109809
87,0.507953479991
88,0.40268799878
89,0.82092688189
90,0.253988311045
91,0.921433977155
92,0.787322121441
93,0.722021693081
94,0.305332267621
95,0.534514492488
96,0.458280572186
97,0.7746867891
98,0.502367141043
99,0.389023941673
100,0.44284816417
101,0.146417828104
102,0.42946894367
103,0.777642399614
104,0.890897219311
105,0.220484652044
106,0.705616179764
107,0.757615215599
108,0.908250427064
109,0.0884044988404
110,0.925994787966
111,0.221500509813
112,0.232614023949
113,0.11340449884
114,0.880119891375
115,0.788400615314
116,0.285425077365
117,0.313487380624
118,0.314286753537
119,0.463219724032
120,0.897864252278
121,0.319408404388
122,0.198231113544
123,0.427714886378
124,0.468595576841
125,0.824567612897
126,0.858416716883
127,0.788684206798
128,0.340134483121
129,0.860017294722
130,0.703609068231
131,0.224148345694
132,0.856637595207
133,0.257956160828
134,0.828913341327
135,0.291829485847
136,0.0912616416976
137,0.211158414526
138,0.251913574434
139,0.654527067552
140,0.800683465038
141,0.889789842114
142,0.356124695382
143,0.921433977155
144,0.760984329159
145,0.845444174452
146,0.90631886204
147,0.277593594499
148,0.804501965063
149,0.382251144059
150,0.34163251385
151,0.196151238094
152,0.725381109408
153,0.78392045304
154,0.254639697948
155,0.664955196788
156,0.306630934399
157,0.779610051768
158,0.259515053004
159,0.774757576198
160,0.668441096486
161,0.544674081669
162,0.131228028252
163,0.337620762682
164,0.164482445763
165,0.291265139672
166,0.657396808529
167,0.481929802346
168,0.656789836198
169,0.757031569379
170,0.18584500152
171,0.544134406136
172,0.304895068366
173,0.689289305056
174,0.413720517805
175,0.847110067198
176,0.900675759169
177,0.638596253065
178,0.524044260386
179,0.279910033065
180,0.0950711655071
181,0.538062283448
182,0.609740185379
183,0.388710719996
184,0.573060049156
185,0.889681878334
186,0.299974330167
187,0.90100710942
188,0.721801052143
189,0.462424346708
190,0.679885719486
191,0.748338069708
192,0.918075533308
193,0.745015853466
194,0.417504269656
195,0.45148119349
196,0.277478081834
197,0.702280063231
198,0.610654106753
199,0.729716510924
200,0.601621642584
201,0.910864938456
202,0.616931197019
203,0.337982195639
204,0.923027754999
205,0.870910932935
206,0.328482840646
207,0.320326188616
208,0.184740441765
209,0.925994787966
210,0.215002185868
211,0.256732950774
212,0.535114589377
213,0.573824910097
214,0.194185471851
215,0.900594912077
216,0.2009568954
217,0.588869330929
218,0.100751837776
219,0.918461473455
220,0.914851930823
221,0.145096737572
222,0.129768219542
223,0.698541202253
224,0.596368947358
225,0.287500703489
226,0.336043198624
227,0.715470400824
228,0.440815661642
229,0.590894365176
230,0.288489450449
231,0.149911333738
232,0.620065456273
233,0.852708726202
234,0.870672081496
235,0.642937735911
236,0.536332789489
237,0.357628941406
238,0.153269123008
239,0.315316019653
240,0.140695390411
241,0.822619287652
242,0.255591821762
243,0.496853398382
244,0.217743914298
245,0.569160865502
246,0.605376319897
247,0.441849579393
248,0.656994262589
249,0.410929847304
250,0.523606625558
251,0.768683750935
252,0.630880536182
253,0.185558805547
254,0.145669022041
255,0.628451975776
256,0.717694109015
257,0.25815224493
258,0.314771532488
259,0.886640696215
260,0.921994787966
261,0.808621324121
262,0.884815172978
263,0.316840886195
264,0.357632707709
265,0.0995949750309
266,0.133888589913
267,0.652382203384
268,0.139989256675
269,0.903014483247
270,0.18726288664
271,0.685195227213
272,0.727081557017
273,0.160304708479
274,0.513895823717
275,0.659454417431
276,0.277432564915
277,0.511108785883
278,0.29403953944
279,0.870594867838
280,0.1968569875
281,0.52144707914
282,0.342442875654
283,0.766387180801
284,0.767795141405
285,0.785815785567
286,0.311665751646
287,0.644842363594
288,0.369250468975
289,0.66505092134
290,0.677843454573
291,0.262049282906
292,0.806399117924
293,0.81034765933
294,0.756600733302
295,0.709314320193
296,0.679035498389
297,0.313109067538
298,0.574134283192
299,0.139364780389
300,0.780348535795
301,0.765495011946
302,0.240899149539
303,0.858009120116
304,0.813042672123
305,0.921433977155
306,0.22731719161
307,0.415898864281
308,0.710923961991
309,0.207500647044
310,0.915884897856
311,0.400956301882
312,0.925994787966
313,0.816608066596
314,0.280251495998
315,0.592080734534
316,0.925994787966
317,0.380826251537
318,0.844147402682
319,0.764364848272
320,0.872782988854
321,0.902757913729
322,0.171863882594
323,0.116228028252
324,0.631874869142
325,0.438263323493
326,0.574881519902
327,0.781448346718
328,0.662052198183
329,0.250132160587
330,0.742626215673
331,0.286363937675
332,0.527315762779
333,0.782928323548
334,0.826153442998
335,0.104964800739
336,0.911318616312
337,0.646477213999
338,0.413097239895
339,0.702020320413
340,0.838463617278
341,0.741650792631
342,0.498005553313
343,0.796913617077
344,0.0909507951367
345,0.739831497357
346,0.366997607515
347,0.912095013827
348,0.738773211501
349,0.102763473199
350,0.898425063088
351,0.173575863653
352,0.76604048116
353,0.158367183414
354,0.711928748097
355,0.593326476628
356,0.438843809392
357,0.126777478802
358,0.179907844623
359,0.817385702299
360,0.925994787966
361,0.294302522487
362,0.415626344819
363,0.491214876838
364,0.812608110835
365,0.838838614947
366,0.868263658556
367,0.308801327144
368,0.915318616312
369,0.281633759489
370,0.745330675054
371,0.701216417505
372,0.189751843504
373,0.650555774935
374,0.913055573907
375,0.458519862658
376,0.163196773015
377,0.831331548033
378,0.698631442363
379,0.437942621424
380,0.736470925794
381,0.116413213437
382,0.151573107607
383,0.610567809312
384,0.13054609907
385,0.240863312427
386,0.705451784347
387,0.14895394939
388,0.857943827949
389,0.825569303978
390,0.925994787966
391,0.742819273689
392,0.904796993449
393,0.832421165617
394,0.220950094857
395,0.355252089518
396,0.290581156852
397,0.0960968065327
398,0.842052893667
399,0.792224485444
400,0.20372310527
401,0.918677060159
402,0.860378833211
403,0.645142151274
404,0.913124373357
405,0.517808672684
406,0.795991035551
407,0.258637955156
408,0.233837494694
409,0.884617976372
410,0.166328000405
411,0.912095013827
412,0.908250427064
413,0.676600467364
414,0.0967378321738
415,0.918075533308
416,0.577927971247
417,0.314924355302
418,0.789657791784
419,0.608963430678
420,0.860436485158
421,0.379581240433
422,0.467815568289
423,0.853674866468
424,0.727392469583
425,0.607525274902
426,0.921433977155
427,0.873778986526
428,0.851919550094
429,0.856448096732
430,0.925994787966
431,0.780356060146
432,0.506362883961
433,0.33836659913
434,0.528566889265
435,0.508705942703
436,0.778847394762
437,0.740277059935
438,0.110950795137
439,0.8836838109
440,0.80882841478
441,0.50891275203
442,0.925994787966
443,0.918677060159
444,0.138434987959
445,0.0967629824621
446,0.923027754999
447,0.162312543609
448,0.58981334053
449,0.378560499268
450,0.324461302543
